Date,CPIAUCSL,UNRATE,FEDFUNDS,INDPRO,Inflation_MoM,Inflation_YoY,IP_MoM,News_Sentiment,Article_Count
2013-11-01,234.1,6.9,0.08,100.3158,0.18444894273523804,1.2328701961954458,0.23360844107831458,-0.05308131884353665,13.0
2013-12-01,234.719,6.7,0.09,100.5175,0.2644169158479315,1.5128383667573297,0.20106503661436737,0.2375407931394875,20.0
2014-01-01,235.288,6.6,0.07,100.1599,0.24241752904536895,1.557758795574915,-0.35575894744697134,-0.5866067452977101,21.0
2014-02-01,235.547,6.7,0.07,100.9168,0.11007786202441583,1.1204746347724948,0.7556916490531584,-0.2916915715721093,19.0
2014-03-01,236.028,6.7,0.08,101.8942,0.204205530106516,1.6126949139408042,0.9685206031106786,-0.3100999810773393,23.0
2014-04-01,236.468,6.2,0.09,101.9928,0.18641856050976013,2.015125303606169,0.0967670387519659,0.01728749703615904,20.0
2014-05-01,236.918,6.3,0.09,102.3836,0.19030059035471947,2.166947687079812,0.3831643017938591,-0.0937355194799602,25.0
2014-06-01,237.231,6.1,0.1,102.735,0.1321132206079767,2.0589816945944195,0.3432190311729588,-0.04958685220259685,23.0
2014-07-01,237.498,6.2,0.09,102.9632,0.11254852864928111,1.9742378703305974,0.22212488441135658,-0.5024407063238323,25.0
2014-08-01,237.46,6.1,0.09,102.7688,-0.01600013473797013,1.7150983482969062,-0.1888053207359519,-0.08219056565744373,26.0
2014-09-01,237.477,5.9,0.09,103.0641,0.007159100480080838,1.6840509711232077,0.28734401880725624,0.021743975964415324,23.0
2014-10-01,237.43,5.7,0.09,103.0764,-0.019791390324119806,1.6095417021513292,0.011934320486006733,-0.46004342831671236,25.0
2014-11-01,236.983,5.8,0.09,103.7126,-0.18826601524659647,1.231524989320798,0.6172120873449094,-0.10668456801415785,23.0
2014-12-01,236.252,5.6,0.12,103.7044,-0.30846094445592387,0.6531213919623191,-0.00790646459541966,-0.3417993608357695,24.0
2015-01-01,234.747,5.7,0.11,102.8905,-0.6370316441765556,-0.22993097820542818,-0.7848268733052777,-0.49570278177037835,25.0
2015-02-01,235.342,5.5,0.11,102.2335,0.25346436802173855,-0.08703146293520536,-0.6385429169845525,-0.2196124272110562,24.0
2015-03-01,235.976,5.4,0.11,101.8914,0.26939517808124425,-0.022031284423873476,-0.33462612548724735,-0.34310798802956316,24.0
2015-04-01,236.222,5.4,0.12,101.3355,0.10424788961589382,-0.10403098939391064,-0.5455808831756226,-0.4370663037888058,23.0
2015-05-01,237.001,5.6,0.12,100.8883,0.3297745341246827,0.03503321824429584,-0.44130635364704185,-0.4442797431560314,23.0
2015-06-01,237.657,5.3,0.13,100.571,0.27679208104607333,0.1795718097550525,-0.3145062410606636,-0.07094527928469081,24.0
2015-07-01,238.034,5.2,0.13,101.2228,0.15863197801873063,0.22568611104094582,0.6480993526961187,-0.03379190506206618,27.0
2015-08-01,238.033,5.1,0.14,101.0367,-0.000420108051790713,0.2413037985344868,-0.1838518594625027,0.21327608065136397,24.0
2015-09-01,237.498,5.0,0.14,100.7547,-0.22475875193775918,0.008842961634170088,-0.27910650288459626,-0.4731533690637937,66.0
2015-10-01,237.733,5.0,0.12,100.2675,0.09894820166906904,0.12761656067050708,-0.4835506432950498,-0.13384184773983152,66.0
2015-11-01,238.017,5.1,0.12,99.5298,0.11946174910508756,0.4363182169185187,-0.7357319171217069,0.16017736872173335,73.0
2015-12-01,237.761,5.0,0.24,99.0417,-0.10755534268560574,0.6387247515364791,-0.490405888487655,-0.13651526455000482,68.0
2016-01-01,237.652,4.8,0.34,99.5607,-0.04584435630738959,1.2375025026943876,0.5240216999506275,-0.2376638307215889,92.0
2016-02-01,237.336,4.9,0.38,99.0445,-0.13296753235823022,0.8472775790126619,-0.5184776724149187,-0.30479184276838267,90.0
2016-03-01,238.08,5.0,0.36,98.3096,0.31347962382444194,0.8916160965521946,-0.7419897116952456,-0.28722820661399356,96.0
2016-04-01,238.992,5.1,0.37,98.6421,0.38306451612901693,1.1726257503534843,0.33821722395370735,-0.22875192072134204,86.0
2016-05-01,239.557,4.8,0.37,98.4184,0.23640958693178504,1.0784764621246223,-0.22677943798843359,0.03399071623571216,90.0
2016-06-01,240.222,4.9,0.38,98.8833,0.2775957287827202,1.0792865347959424,0.4723710200531528,-0.10435838749171379,97.0
2016-07-01,240.101,4.8,0.39,98.9992,-0.05037007434789409,0.8683633430518256,0.11720887146766668,-0.12103842286858707,100.0
2016-08-01,240.545,4.9,0.4,98.85,0.18492217858316895,1.0553158595656864,-0.15070828855183738,-0.10708044859443287,122.0
2016-09-01,241.176,5.0,0.4,98.7457,0.26232097944252075,1.5486446201652182,-0.10551340414769461,-0.2892757429330199,111.0
2016-10-01,241.741,4.9,0.4,98.7611,0.23426874979268764,1.685924966243646,0.015595615809083085,-0.0545953283609267,114.0
2016-11-01,242.026,4.7,0.41,98.3491,0.11789477167711837,1.6843334719788938,-0.417168298044468,0.08361123252048422,134.0
2016-12-01,242.637,4.7,0.54,99.0214,0.2524522158776188,2.0507989115119862,0.6835853098808187,-0.013129511145719638,120.0
2017-01-01,243.618,4.7,0.65,98.7611,0.4043076694815628,2.5103933482571117,-0.2628724699913376,0.003477583358387553,121.0
2017-02-01,244.006,4.6,0.66,98.3646,0.15926573570097524,2.8103616813294208,-0.4014738596471723,0.23188466971147467,110.0
2017-03-01,243.892,4.4,0.79,99.0137,-0.04672016261895173,2.44119623655914,0.6598918716692825,0.01767486339065663,116.0
2017-04-01,244.193,4.4,0.9,100.0224,0.12341528217407749,2.176223471915395,1.01874791064267,-0.2217496286017543,94.0
2017-05-01,244.004,4.4,0.91,100.1408,-0.07739779600562935,1.8563431667619756,0.11837348433949568,-0.13553299526112123,114.0
2017-06-01,244.163,4.3,1.04,100.3471,0.0651628661825221,1.640565809959127,0.20600993800727885,-0.3098127185536379,110.0
2017-07-01,244.243,4.3,1.15,100.1068,0.03276499715354486,1.7251073506566073,-0.23946880378206137,-0.05688880166813438,101.0
2017-08-01,245.183,4.4,1.16,99.6925,0.38486261632881824,1.92812155729698,-0.41385799965637515,-0.037171457249704484,112.0
2017-09-01,246.435,4.3,1.15,99.7954,0.5106389920997767,2.1805652303711787,0.10321739348497783,-0.010031533811022241,102.0
